ORDEN,SUBORDEN,FAMILIA,SUBFAMILIA ,TRIBU,ESPECIE,REFERENCIA,ESPECIES ESPERADAS,NOTAS
PRIMATES ,NA/ND,CEBIDAE ,SAIMIRIINAE ,NA/ND,"Saimiri oerstedii (Voigt, 1831)* ",,,
PRIMATES ,NA/ND,ATELIDAE ,ATELINAE ,NA/ND,"Ateles geoffroyi Kuhl, 1820 ",,,
PRIMATES ,NA/ND,ATELIDAE ,ALOUATTINAE ,NA/ND,"Alouatta palliata (Gray, 1849) ",,,
RODENTIA,SCIUROMORPHA ,SCIURIDAE ,SCIURINAE ,NA/ND,"Microsciurus alfari (J. A. Allen, 1895) ",,,
RODENTIA,SCIUROMORPHA ,SCIURIDAE ,SCIURINAE ,NA/ND,"Sciurus deppei Peters, 1863",,,
RODENTIA,SCIUROMORPHA ,SCIURIDAE ,SCIURINAE ,NA/ND,"Sciurus granatensis Humboldt, 1811 ",,,
RODENTIA,SCIUROMORPHA ,SCIURIDAE ,SCIURINAE ,NA/ND,"Sciurus variegatoides Ogilby, 1839 ",,,
RODENTIA,SCIUROMORPHA ,SCIURIDAE ,SCIURINAE ,NA/ND,"Syntheosciurus brochus Bangs, 1902* ",,,
RODENTIA,CASTORIMORPHA ,GEOMYIDAE ,NA/ND,NA/ND,"Heterogeomys cavator (Bangs, 1902)* ",,,
RODENTIA,CASTORIMORPHA ,GEOMYIDAE ,NA/ND,NA/ND,"Heterogeomys cherriei (J. A. Allen, 1893) ",,,
RODENTIA,CASTORIMORPHA ,GEOMYIDAE ,NA/ND,NA/ND,"Heterogeomys heterodus (Peters, 1865)**",,,
RODENTIA,CASTORIMORPHA ,GEOMYIDAE ,NA/ND,NA/ND,"Heterogeomys underwoodi (Osgood, 1931)** ",,,
RODENTIA,CASTORIMORPHA ,HETEROMYIDAE ,HETEROMYINAE ,NA/ND,"Heteromys desmarestianus Gray, 1868",,,
RODENTIA,CASTORIMORPHA ,HETEROMYIDAE ,HETEROMYINAE ,NA/ND,"Heteromys nubicolens Anderson y Timm, 2006** ",,,
RODENTIA,CASTORIMORPHA ,HETEROMYIDAE ,HETEROMYINAE ,NA/ND,"Heteromys oresterus Harris, 1932**",,,
RODENTIA,CASTORIMORPHA ,HETEROMYIDAE ,HETEROMYINAE ,NA/ND,"Heteromys salvini (Thomas, 1893) ",Referencia de cambio de genero,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ICHTHYOMYINI ,"Rheomys raptor Goldman, 1912*",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ICHTHYOMYINI ,"Rheomys underwoodi Thomas, 1906* ",,,
